sub,a_opt,s_opt,a_sr,s_sr,a_rt,s_rt
1,0.694779116,0.682464455,0.257142857,0.286407767,2.940393574,1.827236967
2,0.955284553,0.957345972,0.290456432,0.330097087,2.916235772,1.896578199
3,0.825726141,0.50952381,0.280172414,0,3.227713693,2.535271429
4,0.733870968,0.953488372,0.148148148,0.325471698,3.090641129,1.949437209
5,0.794354839,0.839622642,0.302040816,0.336538462,2.449169355,1.395448113
7,0.570815451,0.632653061,0.421296296,0.446327684,4.351201717,2.493933673
8,0.743902439,0.91509434,0.253112033,0.302884615,4.190813008,2.478981132
9,0.495967742,0.625592417,0.475409836,0.576923077,4.267153226,2.363563981
10,0.401606426,0.827102804,0.457142857,0.369668246,3.87586747,1.925415888
11,0.497925311,0.923076923,0.387931034,0.303482587,5.054921162,1.983447115
12,0.36437247,0.946859903,0.477178423,0.338383838,4.807259109,2.009550725
13,0.616935484,0.742990654,0.392561983,0.308056872,3.378758065,2.120135514
14,0.477732794,0.732394366,0.433884298,0.248803828,5.805878543,2.157892019
15,0.967741935,0.934579439,0.25,0.289099526,3.065201613,2.02371028
16,0.52892562,0.971153846,0.495726496,0.351758794,2.966181818,1.673894231
17,0.508130081,0.58490566,0.119834711,0.072115385,3.055922764,1.671886792
18,0.746938776,0.924528302,0.407563025,0.289855072,3.148787755,1.960212264
20,0.811715481,0.916666667,0.37826087,0.317948718,3.367439331,2.018598039
21,0.518218623,0.671428571,0.045454545,0.126829268,2.175801619,1.413180952
22,0.107883817,0.894230769,0.280172414,0.345,4.480120332,1.9568125
23,0.720164609,0.858490566,0.397435897,0.391304348,4.287641975,1.912929245
24,0.910569106,0.957746479,0.347107438,0.330143541,3.349243902,2.143413146
25,0.890688259,0.958333333,0.33744856,0.333333333,3.259923077,1.996949074
26,0.483739837,0.539906103,0.466666667,0.433333333,5.276495935,3.236117371
27,0.477911647,0.928229665,0.379591837,0.359605911,3.95239759,1.916808612
29,0.679012346,0.602803738,0.367088608,0.157894737,2.977473251,1.554630841
30,0.431623932,0.887179487,0.202702703,0.338888889,3.653619658,1.888825641
31,0.489711934,0.599033816,0.487394958,0.14213198,4.817621399,2.394676329
32,0.719008264,0.927536232,0.270386266,0.33,2.941057851,1.946516908
33,0.471311475,0.604761905,0.358649789,0.16097561,3.656028689,2.00067619
34,0.821576763,0.915422886,0.340517241,0.359375,2.770518672,1.647223881
35,0.962655602,0.933333333,0.293103448,0.303921569,2.779502075,1.693090476
36,0.909090909,0.928229665,0.30472103,0.376237624,2.723900826,1.889416268
37,0.43852459,0.920792079,0.428571429,0.282722513,5.657741803,2.274594059
38,0.943319838,0.971698113,0.351239669,0.346153846,2.365587045,1.61184434
39,0.508196721,0.833333333,0.008474576,0.367647059,3.854942623,2.592219048
41,0.573170732,0.576744186,0.481327801,0.608490566,3.89396748,2.184893023
43,0.889795918,0.87037037,0.300411523,0.38028169,3.643759184,2.033032407
44,0.897119342,0.943925234,0.291139241,0.333333333,2.52455144,1.497630841
47,0.736625514,0.933649289,0.142259414,0.334951456,3.138411523,1.770251185
48,0.79757085,0.938388626,0.371900826,0.328502415,2.901327935,1.704317536
49,0.659836066,0.795238095,0.147058824,0.395121951,4.181635246,2.517257143
50,0.576763485,0.843601896,0.165217391,0.331707317,3.835925311,1.867976303
51,0.651639344,0.696261682,0.226890756,0.27014218,3.227110656,2.029915888
52,0.788,0.875598086,0.348178138,0.32195122,3.709824,2.02991866
53,0.901234568,0.980952381,0.247863248,0.339901478,2.468555556,1.683095238
54,0.526530612,0.766666667,0.112970711,0.204878049,2.798293878,1.787
55,0.510288066,0.822429907,0,0.360189573,2.368790123,1.577056075
56,0.427419355,0.682242991,0.224489796,0.289099526,3.930294355,2.175621495
57,0.526970954,0.841346154,0.414847162,0.383084577,5.445692946,2.888043269
